phase,id,subcategory,neighbors,question_text
0,1a,forest,"canyon, mountain_stream",「北国の深い山地で、樹齢数百年のブナが天蓋のように茂る手つかずの森」に対してどのような感情を抱きますか？上記の図を参考にお答えください。（複数選択可）
0,1b,canyon,"dam_power, forest",「苔とシダに覆われ、年間を通じて霧雨に包まれる亜熱帯の渓谷」に対してどのような感情を抱きますか？（複数選択可）
0,2a,cape_coast,"boat_shed, estuary_mangrove, sea_cave, waterfront_renewal, wetland_plain",「冬に氷の塊が海岸を埋め尽くし、断崖の上に原野が広がる岬」に対してどのような感情を抱きますか？上記の図を参考にお答えください。（複数選択可）
0,2b,cape_coast,"boat_shed, estuary_mangrove, sea_cave, waterfront_renewal, wetland_plain",「星明かりの下でウミガメが静かに産卵する白い砂の入り江」に対してどのような感情を抱きますか？（複数選択可）
0,3a,wetland_plain,"cape_coast, river_restoration",「朝靄の湿原をタンチョウが舞い、葦原が風にざわめく広大な平野」に対してどのような感情を抱きますか？上記の図を参考にお答えください。（複数選択可）
0,3b,alpine_volcano,"alpine_windbreak, summit_shelter",「夏でも残雪が残り、高山植物が点描のように咲く標高二千メートルの火山帯」に対してどのような感情を抱きますか？（複数選択可）
0,4a,estuary_mangrove,cape_coast,「入り組んだ水路にマングローブが繁り、カヌーでしか奥へ進めない汽水域」に対してどのような感情を抱きますか？上記の図を参考にお答えください。（複数選択可）
0,4b,highland_grass,–,「草が波立つ外輪山の高原で、放牧の牛が風に揺れる鈴を鳴らす草原」に対してどのような感情を抱きますか？（複数選択可）
0,5a,mountain_stream,"forest, microhydro_village, river_hearth",「苔むした岩を清流が走り、小滝が連なる緑深い渓流」に対してどのような感情を抱きますか？上記の図を参考にお答えください。（複数選択可）
0,5b,wetland_plain,"cape_coast, river_restoration",「満潮と干潮で姿を変え、夜になると夜光虫が輝く遠浅の干潟」に対してどのような感情を抱きますか？（複数選択可）
1,1c,sea_cave,cape_coast,「海を見下ろす岩穴がそのまま雨風よけになり、焚き火の跡だけが残る絶壁」に対してどのような感情を抱きますか？（複数選択可）
